Year,Type,Expenditure
2010,Casino,3519.993474
2011,Casino,3693.932859
2012,Casino,4081.09167
2013,Casino,4119.386024
2014,Casino,4388.749106
2015,Casino,5174.264568
2016,Casino,5194.865141
2017,Casino,4790.040525
2018,Casino,5100.582803
2019,Casino,4859.857494
2020,Casino,3514.29804
2021,Casino,2728.641241
2010,Machines,10223.30996
2011,Machines,10623.50762
2012,Machines,10911.18559
2013,Machines,10827.92943
2014,Machines,11052.39451
2015,Machines,11588.90726
2016,Machines,12074.258
2017,Machines,12136.2325
2018,Machines,12520.42209
2019,Machines,12717.24817
2020,Machines,10198.20409
2021,Machines,12182.11952
2010,Interactive,0
2011,Interactive,0
2012,Interactive,0
2013,Interactive,0
2014,Interactive,0
2015,Interactive,0
2016,Interactive,0.008
2017,Interactive,0.004565
2018,Interactive,0.001
2019,Interactive,0.818
2020,Interactive,3.79
2021,Interactive,11.127
2010,Keno,261.8501068
2011,Keno,285.192306
2012,Keno,307.151917
2013,Keno,321.224777
2014,Keno,327.1599135
2015,Keno,326.7941647
2016,Keno,345.8441724
2017,Keno,356.7895432
2018,Keno,354.6701947
2019,Keno,358.5121214
2020,Keno,306.5387211
2021,Keno,419.4654375
2010,Lotteries,1489.676719
2011,Lotteries,1775.171
2012,Lotteries,1968.269108
2013,Lotteries,2153.660892
2014,Lotteries,1953.090642
2015,Lotteries,1993.238249
2016,Lotteries,2138.303275
2017,Lotteries,2003.228764
2018,Lotteries,2095.340053
2019,Lotteries,2583.756041
2020,Lotteries,2624.116595
2021,Lotteries,2837.97843
2010,Minor Gaming,19.925
2011,Minor Gaming,24.806
2012,Minor Gaming,24.312
2013,Minor Gaming,25.164
2014,Minor Gaming,26.804
2015,Minor Gaming,23.09
2016,Minor Gaming,31.77
2017,Minor Gaming,34.35
2018,Minor Gaming,34.61
2019,Minor Gaming,31.913
2020,Minor Gaming,29.2
2021,Minor Gaming,44.613
2010,Wagering,2941.331741
2011,Wagering,3018.795761
2012,Wagering,3256.753018
2013,Wagering,3348.181238
2014,Wagering,3533.449444
2015,Wagering,3801.976129
2016,Wagering,4019.60215
2017,Wagering,4376.965397
2018,Wagering,4946.738544
2019,Wagering,5030.123969
2020,Wagering,4567.098145
2021,Wagering,5815.092067
